post_id,post_topic,content_type,engagement,post_age_hours,author_experience,author_network_size
P01039,Finance,Text,0.3819,0.6,5.0,141
P01040,Machine Learning,Job Opportunity,0.3649,43.0,2.1,316
P01041,Software,Text,0.4289,2.8,8.1,157
P01042,Finance,Article,0.0788,10.5,6.5,205
P01043,Marketing,Article,0.366,33.1,4.9,652
P01044,Machine Learning,Text,0.2446,2.7,4.5,186
P01045,Software,Article,0.4679,24.3,6.4,476
P01046,Data Science,Image,0.5737,9.0,2.3,710
P01047,Machine Learning,Job Opportunity,0.3799,5.5,9.7,303
P01048,Design,Job Opportunity,0.066,89.0,11.2,497
P01049,AI,Text,0.8203,12.6,4.5,166
P01050,Leadership,Text,0.3426,60.1,4.0,598
P01051,Software,Text,0.5217,0.2,2.8,553
P01052,Finance,Article,0.5735,23.7,1.8,1058
P01053,Software,Video,0.7754,82.9,3.6,843
P01054,Design,Article,0.4097,72.1,5.5,408
P01055,Design,Article,0.7234,23.8,8.3,3006
P01056,Data Science,Image,0.3441,69.9,2.0,670
P01057,AI,Image,0.0614,8.1,4.7,914
P01058,Machine Learning,Job Opportunity,0.4898,62.6,4.9,228
P01059,Leadership,Text,0.787,37.5,7.1,246
P01060,Career,Job Opportunity,0.0532,6.2,3.3,350
P01061,AI,Text,0.1958,47.6,12.2,148
P01062,AI,Article,0.7067,5.6,9.4,340
P01063,Finance,Text,0.6797,6.8,5.8,320
P01064,Career,Video,0.1647,53.9,11.4,793
P01065,Leadership,Text,0.5649,14.2,7.4,840
P01066,AI,Image,0.458,30.3,10.5,364
P01067,Design,Text,0.2987,0.4,8.9,245
P01068,Software,Job Opportunity,0.4075,32.1,6.8,1384
P01069,Software,Article,0.3243,24.4,6.9,98
P01070,Data Science,Video,0.3685,47.3,6.0,95
P01071,Leadership,Job Opportunity,0.226,9.5,19.1,485
P01072,Software,Video,0.3724,46.6,9.8,312
P01073,Marketing,Job Opportunity,0.5669,45.3,5.6,258
P01074,Software,Video,0.1345,17.7,11.9,76
P01075,Machine Learning,Article,0.231,22.3,3.3,164
P01076,AI,Video,0.1278,35.0,6.2,1077
P01077,Data Science,Video,0.3216,19.1,3.4,940
P01078,AI,Article,0.1638,11.6,5.3,622
P01079,Marketing,Text,0.0901,8.5,4.1,172
P01080,Leadership,Article,0.1633,33.6,5.6,253
P01081,Marketing,Text,0.533,53.4,3.3,239
P01082,Finance,Job Opportunity,0.6231,22.0,6.3,192
P01083,Machine Learning,Job Opportunity,0.3104,24.2,1.9,214
P01084,Machine Learning,Video,0.4993,56.9,4.4,305
P01085,Machine Learning,Text,0.0769,62.0,3.6,101
P01086,AI,Text,0.2133,0.8,0.4,850
P01087,Marketing,Article,0.527,15.9,10.2,296
P01088,Software,Text,0.177,77.8,14.4,221
P01089,Marketing,Image,0.3559,88.1,7.1,94
P01090,Data Science,Text,0.2683,62.5,5.2,618
P01091,Software,Text,0.3984,22.4,3.6,143
P01092,Finance,Article,0.1899,23.6,6.1,486
P01093,Data Science,Job Opportunity,0.1696,6.3,8.3,163
P01094,AI,Text,0.3802,17.3,9.9,362
P01095,AI,Text,0.4555,10.2,8.4,118
P01096,Design,Text,0.6027,38.2,3.2,288
P01097,AI,Text,0.2141,8.4,3.9,310
P01098,Software,Video,0.2632,6.5,2.4,376
P01099,Data Science,Video,0.4055,12.4,3.0,670
P01100,Data Science,Video,0.6813,94.5,8.2,499
P01101,Leadership,Article,0.3288,28.0,5.1,1153
P01102,Leadership,Job Opportunity,0.4004,47.7,8.4,105
P01103,Marketing,Video,0.366,23.1,9.3,1760
P01104,Software,Job Opportunity,0.1617,31.0,5.7,701
P01105,Design,Article,0.2465,25.9,8.7,232
P01106,AI,Job Opportunity,0.4966,11.1,4.5,729
P01107,Software,Video,0.4089,17.8,5.8,1357
P01108,Data Science,Text,0.5082,15.4,1.8,804
P01109,Data Science,Article,0.6279,46.1,4.3,150
P01110,Finance,Text,0.3755,39.2,3.0,341
P01111,AI,Image,0.2722,96.6,1.5,604
P01112,Career,Text,0.239,19.5,6.6,322
P01113,Machine Learning,Video,0.6665,6.8,4.8,470
P01114,Data Science,Image,0.2265,56.1,4.0,497
P01115,Marketing,Image,0.2389,31.8,4.1,150
P01116,Design,Text,0.6021,96.9,2.0,904
P01117,Marketing,Job Opportunity,0.3489,89.1,7.7,355
P01118,Finance,Text,0.4876,6.2,7.6,319
P01119,Software,Image,0.433,10.6,3.2,161
P01120,Leadership,Text,0.1262,1.7,2.3,272
P01121,Marketing,Article,0.2908,31.8,6.6,699
P01122,AI,Text,0.1713,53.0,12.6,400
P01123,Data Science,Image,0.2124,16.4,5.4,582
P01124,Design,Video,0.2135,20.8,8.3,321
P01125,Career,Article,0.1473,75.1,3.8,354
P01126,Machine Learning,Article,0.6801,17.0,6.0,89
P01127,Leadership,Video,0.3414,1.4,0.9,452
P01128,Software,Article,0.6116,106.5,3.6,283
P01129,Leadership,Article,0.3107,0.4,2.2,426
P01130,Finance,Image,0.5847,119.5,16.1,59
P01131,Software,Text,0.074,59.2,5.1,2506
P01132,Design,Article,0.0915,10.1,21.1,350
P01133,Software,Text,0.3254,1.3,5.1,478
P01134,Data Science,Video,0.3728,30.0,6.6,450
P01135,Design,Video,0.5365,0.1,4.7,257
P01136,Machine Learning,Article,0.3521,8.8,4.0,463
P01137,Machine Learning,Text,0.3281,30.0,6.4,854
P01138,Design,Text,0.3257,25.9,8.0,381
P01139,Finance,Text,0.349,69.0,2.7,656
P01140,Career,Article,0.0987,46.0,3.9,611
P01141,AI,Text,0.4942,18.0,1.7,581
P01142,Marketing,Video,0.5936,23.7,1.2,1452
P01143,AI,Article,0.2122,11.6,8.0,438
P01144,Data Science,Job Opportunity,0.3936,16.5,7.5,311
P01145,Machine Learning,Job Opportunity,0.206,55.4,4.5,319
P01146,Data Science,Text,0.3417,66.6,7.5,458
P01147,Data Science,Video,0.4425,19.7,8.3,112
P01148,Design,Video,0.4864,1.1,10.1,1012
P01149,Marketing,Article,0.6717,4.9,0.9,272
P01150,AI,Text,0.3575,24.1,5.2,307
P01151,Finance,Job Opportunity,0.2604,2.6,2.2,116
P01152,Leadership,Article,0.3435,40.2,3.0,361
P01153,Finance,Video,0.3475,19.3,2.8,112
P01154,Marketing,Video,0.3005,51.3,6.2,86
P01155,Finance,Article,0.3368,4.3,3.5,184
P01156,Design,Text,0.0876,49.3,0.9,271
P01157,Marketing,Job Opportunity,0.1501,7.6,6.9,166
P01158,Marketing,Article,0.292,4.1,2.2,415
P01159,Design,Article,0.2168,23.7,2.3,881
P01160,Software,Text,0.6548,57.9,22.9,393
P01161,Leadership,Image,0.3978,0.1,11.7,56
P01162,Career,Video,0.4853,113.5,3.5,325
P01163,Data Science,Text,0.2758,4.3,2.5,526
P01164,Design,Image,0.3714,50.6,7.8,246
P01165,Software,Job Opportunity,0.4839,18.3,25.0,425
P01166,Design,Article,0.4387,140.0,13.4,408
P01167,AI,Image,0.018,53.4,8.3,137
P01168,Software,Text,0.1486,14.6,13.4,866
P01169,Software,Article,0.5231,43.4,7.2,262
P01170,Data Science,Text,0.5986,22.1,12.8,254
P01171,Data Science,Text,0.2295,20.1,3.1,474
P01172,Leadership,Job Opportunity,0.5567,19.3,9.9,91
P01173,Data Science,Text,0.2227,36.8,4.9,909
P01174,Marketing,Video,0.2438,62.5,8.1,151
P01175,Machine Learning,Article,0.054,8.4,13.8,1404
P01176,AI,Article,0.7023,12.3,4.2,813
P01177,Data Science,Job Opportunity,0.2079,4.9,3.0,147
P01178,Machine Learning,Image,0.1462,25.4,10.5,431
P01179,AI,Text,0.1776,16.2,6.2,154
P01180,AI,Article,0.1962,20.1,6.5,138
P01181,Software,Article,0.2224,40.8,2.9,45
P01182,Machine Learning,Job Opportunity,0.5804,10.5,7.8,549
P01183,Machine Learning,Article,0.3296,7.0,9.3,229
P01184,Software,Article,0.2364,1.8,3.5,619
P01185,Software,Video,0.4745,31.9,4.9,396
P01186,Design,Job Opportunity,0.3683,113.7,3.5,125
P01187,Marketing,Article,0.5054,45.4,7.3,647
P01188,Leadership,Image,0.6728,34.0,11.6,500
P01189,Leadership,Text,0.1441,22.8,0.2,225
P01190,AI,Video,0.1111,27.8,3.8,721
P01191,Finance,Article,0.2205,20.3,15.9,266
P01192,Marketing,Job Opportunity,0.2134,0.8,4.6,176
P01193,Design,Video,0.4868,8.4,6.2,284
P01194,Data Science,Job Opportunity,0.3897,53.1,21.5,246
P01195,Software,Text,0.3793,99.2,14.8,101
P01196,Leadership,Job Opportunity,0.1144,79.8,7.6,40
P01197,Machine Learning,Text,0.1022,6.3,4.7,1233
P01198,Career,Text,0.4185,117.7,9.1,817
P01199,Data Science,Article,0.346,25.4,3.5,1078
P01200,AI,Image,0.1686,5.4,3.7,680
P01201,Data Science,Text,0.3264,23.0,2.2,237
P01202,Design,Video,0.1754,25.7,3.2,287
P01203,Data Science,Video,0.0645,14.6,4.7,202
P01204,AI,Image,0.2066,13.4,7.2,509
P01205,Data Science,Video,0.2896,12.0,7.7,482
P01206,Leadership,Video,0.3385,0.4,4.3,251
P01207,AI,Text,0.4371,45.1,6.3,469
P01208,Design,Video,0.175,32.7,12.2,836
P01209,Leadership,Text,0.47,28.2,8.8,330
P01210,Leadership,Image,0.3728,15.7,2.9,130
P01211,Leadership,Image,0.4939,1.8,5.3,476
P01212,Machine Learning,Text,0.5353,41.0,11.2,124
P01213,Career,Article,0.0918,18.0,3.3,173
P01214,Machine Learning,Text,0.4814,2.8,2.8,412
P01215,Machine Learning,Image,0.4803,99.7,3.5,542
P01216,AI,Job Opportunity,0.3123,49.9,4.8,356
P01217,Machine Learning,Text,0.4531,50.4,2.9,147
P01218,Machine Learning,Job Opportunity,0.6155,3.5,3.6,3066
P01219,Career,Text,0.3291,27.7,12.5,218
P01220,AI,Job Opportunity,0.2591,13.2,11.4,475
P01221,Marketing,Job Opportunity,0.3274,57.9,0.8,207
P01222,AI,Text,0.4316,7.3,1.4,156
P01223,Design,Job Opportunity,0.3286,45.1,8.8,344
P01224,Marketing,Text,0.3172,132.6,3.4,232
P01225,Finance,Text,0.216,12.7,2.7,356
P01226,AI,Image,0.3044,19.9,6.8,195
P01227,Career,Article,0.1084,66.5,8.1,368
P01228,Data Science,Article,0.2891,38.4,8.7,181
P01229,Machine Learning,Article,0.3496,40.4,8.3,781
P01230,Leadership,Video,0.4557,55.9,7.1,419
P01231,Design,Video,0.4557,10.0,4.5,299
P01232,AI,Image,0.333,65.1,9.7,326
P01233,Machine Learning,Job Opportunity,0.0342,48.3,9.3,244
P01234,Marketing,Job Opportunity,0.2284,8.3,10.5,363
P01235,AI,Video,0.557,38.9,2.8,1095
P01236,Leadership,Job Opportunity,0.1359,22.9,2.7,209
P01237,Marketing,Text,0.46,23.9,22.0,376
P01238,Finance,Video,0.369,2.1,10.5,179
P01239,Software,Article,0.072,13.5,3.5,45
P01240,Finance,Article,0.0567,6.7,4.4,539
P01241,AI,Article,0.5805,43.9,8.2,783
P01242,Leadership,Article,0.1801,30.2,8.9,468
P01243,Marketing,Job Opportunity,0.1975,62.6,1.2,2138
P01244,Finance,Text,0.2282,52.2,6.7,248
P01245,Career,Job Opportunity,0.3225,19.8,9.3,161
P01246,Finance,Text,0.2948,61.6,3.6,852
P01247,Data Science,Video,0.3715,8.5,1.2,895
P01248,Career,Text,0.3482,17.8,8.5,795
P01249,Design,Job Opportunity,0.6716,23.8,1.9,139
P01250,Career,Article,0.2461,54.4,11.8,189
P01251,Finance,Video,0.333,32.4,2.5,89
P01252,Data Science,Job Opportunity,0.6023,7.6,6.2,1601
P01253,Machine Learning,Image,0.4683,14.8,1.3,158
P01254,Data Science,Image,0.3059,0.7,6.1,126
P01255,Career,Text,0.2336,62.8,5.3,304
P01256,Career,Text,0.4556,41.2,4.4,363
P01257,Machine Learning,Article,0.5415,29.8,3.6,563
P01258,Finance,Text,0.6815,18.7,4.5,298
P01259,Leadership,Article,0.1162,44.0,3.7,192
P01260,Leadership,Image,0.1139,57.3,8.1,241
P01261,Career,Job Opportunity,0.3892,9.0,6.3,204
P01262,AI,Video,0.4585,72.1,5.9,1007
P01263,Finance,Image,0.7498,20.1,6.1,329
P01264,AI,Text,0.6026,30.3,4.0,549
P01265,Leadership,Article,0.3479,14.8,6.9,279
P01266,Finance,Video,0.3153,32.5,9.3,77
P01267,Data Science,Text,0.2102,235.4,7.5,1230
P01268,Career,Text,0.6309,21.6,9.2,526
P01269,Career,Job Opportunity,0.3525,3.4,8.0,450
P01270,Software,Text,0.2684,8.0,6.8,61
P01271,Career,Text,0.3445,28.2,2.2,296
P01272,Design,Article,0.2258,25.2,3.2,1134
P01273,AI,Video,0.1864,7.8,1.3,931
P01274,Leadership,Article,0.4554,2.5,9.3,278
P01275,Machine Learning,Video,0.4102,8.3,2.2,876
P01276,Career,Text,0.2812,3.6,2.9,1160
P01277,Leadership,Image,0.434,4.5,4.2,292
P01278,Career,Job Opportunity,0.1725,3.1,4.2,948
P01279,Marketing,Article,0.2962,110.6,4.7,915
P01280,Software,Image,0.2839,76.4,9.5,646
P01281,Leadership,Article,0.2219,3.7,6.7,698
P01282,Software,Article,0.1813,61.8,7.7,164
P01283,AI,Text,0.3535,78.2,2.7,619
P01284,Machine Learning,Text,0.384,20.7,7.8,299
P01285,Career,Job Opportunity,0.4141,124.2,2.6,160
P01286,Data Science,Image,0.5213,6.9,4.6,1115
P01287,Machine Learning,Job Opportunity,0.1622,10.6,3.5,301
P01288,AI,Article,0.528,47.4,3.6,398
P01289,AI,Video,0.4486,26.9,18.7,370
P01290,Leadership,Video,0.1755,50.8,3.8,95
P01291,Machine Learning,Article,0.5161,66.6,1.1,261
P01292,Career,Image,0.6028,2.9,9.1,613
P01293,Marketing,Job Opportunity,0.2399,21.5,4.9,334
P01294,Machine Learning,Job Opportunity,0.4521,100.4,7.5,249
P01295,Design,Job Opportunity,0.5017,28.0,2.9,431
P01296,Finance,Article,0.5077,3.9,4.7,780
P01297,Data Science,Job Opportunity,0.6146,1.5,5.2,89
P01298,Leadership,Job Opportunity,0.5694,14.8,5.2,304
P01299,Marketing,Video,0.41,9.8,4.9,335
P01300,Leadership,Article,0.7138,34.2,8.7,1360
P01301,Marketing,Text,0.6651,28.9,9.6,867
P01302,Design,Article,0.624,156.3,2.8,109
P01303,Data Science,Article,0.4199,11.8,9.2,965
P01304,Machine Learning,Job Opportunity,0.7129,17.4,3.1,293
P01305,Machine Learning,Job Opportunity,0.1168,7.9,7.2,91
P01306,Software,Job Opportunity,0.1934,66.6,1.0,113
P01307,Leadership,Text,0.2664,6.8,8.8,985
P01308,Career,Video,0.1287,49.5,6.8,475
P01309,Software,Text,0.2494,31.4,3.2,150
P01310,AI,Text,0.4295,5.3,5.5,1172
P01311,Leadership,Text,0.0273,17.2,4.9,583
P01312,Career,Job Opportunity,0.2869,43.0,5.9,269
P01313,AI,Image,0.8123,55.5,6.0,420
P01314,Machine Learning,Image,0.2798,22.3,4.9,164
P01315,Data Science,Article,0.4027,12.6,12.8,1635
P01316,Finance,Text,0.7428,47.4,3.9,128
P01317,AI,Video,0.3908,24.8,7.1,118
P01318,Marketing,Video,0.1629,6.2,6.5,386
P01319,Finance,Job Opportunity,0.6774,23.7,4.1,3310
P01320,Leadership,Article,0.3811,107.9,11.8,107
P01321,Design,Article,0.1345,34.5,2.7,634
P01322,Machine Learning,Job Opportunity,0.3623,13.5,8.0,349
P01323,Finance,Text,0.0965,58.6,7.1,455
P01324,Career,Text,0.0657,23.9,6.7,824
P01325,AI,Job Opportunity,0.4254,4.7,5.5,191
P01326,Career,Image,0.1777,53.9,9.2,269
P01327,Data Science,Image,0.6586,15.7,2.1,190
P01328,Career,Article,0.3632,42.1,3.2,1014
P01329,Marketing,Video,0.25,13.8,6.9,914
P01330,Design,Text,0.5963,21.5,3.3,134
P01331,Machine Learning,Video,0.1751,8.0,2.9,448
P01332,Career,Video,0.2957,23.0,11.0,764
P01333,Marketing,Article,0.4837,89.3,11.3,93
P01334,Leadership,Text,0.5139,58.3,7.1,1003
P01335,Leadership,Text,0.6473,22.6,3.4,314
P01336,Marketing,Text,0.5997,13.1,3.9,230
P01337,Finance,Article,0.1685,20.7,6.1,1010
P01338,Career,Job Opportunity,0.2365,41.8,4.7,816
P01339,Finance,Text,0.2594,8.6,8.2,111
P01340,Design,Text,0.9444,8.2,2.4,588
P01341,Leadership,Video,0.2306,78.3,2.5,569
P01342,Marketing,Video,0.1114,30.6,4.9,58
P01343,Marketing,Text,0.6229,24.8,11.4,517
P01344,Software,Article,0.4908,86.3,7.0,238
P01345,Leadership,Article,0.1673,1.9,5.8,815
P01346,Software,Article,0.0803,35.9,5.8,167
P01347,Marketing,Article,0.3049,18.5,11.1,364
P01348,Career,Video,0.383,7.9,14.5,215
P01349,Finance,Text,0.8303,21.3,2.4,199
P01350,Design,Article,0.3496,83.1,6.2,57
P01351,Machine Learning,Video,0.1983,13.2,6.6,775
P01352,Machine Learning,Article,0.3301,24.8,4.0,836
P01353,Software,Job Opportunity,0.2901,58.9,3.1,350
P01354,Design,Video,0.5027,120.9,1.2,444
P01355,Finance,Video,0.4652,128.3,5.5,184
P01356,Software,Text,0.2976,26.5,14.0,780
P01357,Design,Text,0.2162,1.3,9.2,402
P01358,Data Science,Text,0.4978,25.1,5.6,347
P01359,Software,Job Opportunity,0.1523,58.1,6.9,1072
P01360,Design,Article,0.1895,7.0,5.4,117
P01361,Machine Learning,Text,0.0698,111.4,5.4,70
P01362,Design,Image,0.4839,31.3,9.2,471
P01363,AI,Text,0.4982,21.0,5.7,279
P01364,Marketing,Video,0.4048,11.7,2.3,133
P01365,Marketing,Job Opportunity,0.4237,28.1,2.7,379
P01366,Design,Text,0.2371,26.6,4.1,442
P01367,Design,Article,0.3155,5.8,6.7,667
P01368,Career,Job Opportunity,0.1053,4.5,2.9,137
P01369,Design,Article,0.6901,3.8,1.2,238
P01370,Career,Image,0.3149,8.6,4.3,420
P01371,Finance,Article,0.8685,163.7,7.4,802
P01372,Career,Article,0.37,1.9,9.7,684
P01373,Leadership,Text,0.3019,44.3,3.1,223
P01374,Data Science,Job Opportunity,0.2743,28.6,4.9,500
P01375,Career,Article,0.0928,50.5,2.5,218
P01376,AI,Text,0.0362,16.8,3.8,237
P01377,AI,Text,0.3591,27.0,1.4,257
P01378,Machine Learning,Article,0.4016,101.9,2.0,198
P01379,Finance,Article,0.4675,15.8,1.9,595
P01380,AI,Job Opportunity,0.4003,15.8,10.0,696
P01381,Software,Video,0.654,44.6,2.9,240
P01382,Software,Text,0.3258,23.1,8.3,380
P01383,Software,Article,0.3078,9.7,2.0,243
P01384,AI,Article,0.3769,45.0,5.1,156
P01385,Software,Text,0.5055,53.7,6.3,138
P01386,Software,Text,0.6762,11.4,7.1,1338
P01387,Leadership,Job Opportunity,0.1387,27.3,1.1,182
P01388,Marketing,Article,0.122,5.0,7.2,549
P01389,Software,Text,0.0979,61.8,7.9,451
P01390,Machine Learning,Video,0.4835,33.2,0.5,127
P01391,Finance,Text,0.203,45.1,2.6,464
P01392,Software,Image,0.4188,16.6,7.5,418
P01393,Leadership,Video,0.1777,5.4,13.6,324
P01394,Software,Article,0.5921,14.0,7.4,233
P01395,Design,Job Opportunity,0.4923,5.1,0.7,330
P01396,AI,Text,0.3944,0.2,7.1,482
P01397,Career,Article,0.4882,62.2,2.0,166
P01398,Leadership,Video,0.2544,76.6,6.3,1043
P01399,Leadership,Image,0.6153,51.4,7.5,572
P01400,Design,Article,0.4352,4.9,6.2,48
P01401,Finance,Text,0.6326,27.0,8.8,276
P01402,Leadership,Job Opportunity,0.1256,43.6,3.0,1815
P01403,Finance,Video,0.2482,31.6,7.7,440
P01404,Leadership,Text,0.1985,21.7,4.1,185
P01405,Finance,Text,0.2138,0.1,7.6,551
P01406,Design,Video,0.0605,16.1,2.3,61
P01407,Software,Video,0.5107,15.4,3.2,410
P01408,Leadership,Article,0.1546,5.2,8.4,221
P01409,Machine Learning,Text,0.2965,44.3,5.0,342
P01410,AI,Text,0.5033,23.4,2.9,114
P01411,Leadership,Image,0.4263,54.3,8.6,234
P01412,Machine Learning,Image,0.3534,36.9,3.2,41
P01413,AI,Video,0.2048,23.5,6.8,201
P01414,Marketing,Video,0.2878,14.4,3.4,364
P01415,Marketing,Text,0.6167,2.5,13.5,805
P01416,Marketing,Image,0.2439,45.1,5.7,2372
P01417,Finance,Job Opportunity,0.2573,6.1,5.1,172
P01418,Career,Image,0.4403,41.7,9.6,495
P01419,AI,Job Opportunity,0.2463,8.5,3.1,252
P01420,Machine Learning,Job Opportunity,0.2581,56.5,8.1,260
P01421,Data Science,Article,0.2116,44.8,2.8,355
P01422,Design,Text,0.1969,45.3,4.9,291
P01423,Leadership,Text,0.4457,36.4,3.6,1471
P01424,Finance,Text,0.5816,35.6,2.1,260
P01425,Design,Image,0.3376,14.5,2.1,132
P01426,Design,Text,0.3756,58.6,3.6,383
P01427,AI,Article,0.2972,6.7,7.8,140
P01428,Finance,Text,0.4422,5.7,22.0,246
P01429,Design,Article,0.5529,8.7,2.1,771
P01430,Machine Learning,Text,0.3427,75.9,4.8,271
P01431,Machine Learning,Article,0.2569,10.5,4.1,501
P01432,Data Science,Article,0.4345,56.0,8.0,279
P01433,Design,Text,0.2172,65.9,11.3,407
P01434,Machine Learning,Video,0.2958,6.2,6.0,189
P01435,Marketing,Video,0.1076,22.9,2.2,632
P01436,Software,Article,0.0959,36.7,4.1,115
P01437,Leadership,Job Opportunity,0.3196,8.6,7.0,174
P01438,Design,Article,0.1818,25.1,4.3,353
P01439,AI,Video,0.1215,74.8,2.6,639
P01440,Data Science,Job Opportunity,0.4139,3.3,5.2,391
P01441,Marketing,Job Opportunity,0.191,43.9,4.4,498
P01442,Machine Learning,Text,0.2966,13.6,6.2,125
P01443,Marketing,Text,0.1513,99.7,8.3,256
P01444,Data Science,Image,0.41,25.3,10.9,400
P01445,AI,Video,0.4326,25.0,14.9,345
P01446,Marketing,Image,0.4693,129.4,18.6,139
P01447,AI,Text,0.1094,96.3,1.8,168
P01448,Machine Learning,Job Opportunity,0.3144,3.2,6.6,297
P01449,Machine Learning,Job Opportunity,0.6349,17.7,1.2,600
P01450,AI,Image,0.2724,152.4,6.0,1773
P01451,Data Science,Job Opportunity,0.409,138.7,7.7,138
P01452,Career,Text,0.2181,44.9,1.9,344
P01453,Software,Article,0.3452,12.1,15.3,146
P01454,Software,Video,0.136,34.5,2.0,324
P01455,Career,Video,0.4412,0.7,2.4,243
P01456,Design,Text,0.1652,23.2,7.8,458
P01457,Software,Text,0.7367,32.9,6.6,67
P01458,AI,Video,0.1069,36.6,6.7,253
P01459,Leadership,Article,0.4148,18.7,0.5,360
P01460,Marketing,Image,0.4531,110.3,7.0,389
P01461,Design,Job Opportunity,0.0068,54.3,6.4,429
P01462,Marketing,Article,0.6527,27.7,3.5,375
P01463,Design,Image,0.3717,25.7,1.5,903
P01464,Machine Learning,Article,0.4369,43.6,5.1,957
P01465,Machine Learning,Text,0.3465,0.5,8.4,279
P01466,Marketing,Job Opportunity,0.4759,8.6,10.2,218
P01467,Leadership,Article,0.3279,31.5,4.2,388
P01468,Data Science,Article,0.1923,10.6,11.2,630
P01469,Data Science,Job Opportunity,0.3902,8.5,1.3,341
P01470,Data Science,Article,0.2888,18.9,8.5,138
P01471,AI,Text,0.1266,37.2,5.0,712
P01472,Career,Text,0.1115,9.4,1.3,453
P01473,Design,Article,0.206,10.1,10.0,1349
P01474,Design,Article,0.1475,31.1,5.0,182
P01475,Finance,Image,0.1593,131.4,8.9,399
P01476,Machine Learning,Text,0.3111,29.1,4.7,467
P01477,Data Science,Text,0.4022,6.7,4.6,276
P01478,Leadership,Video,0.512,1.9,3.5,155
P01479,Machine Learning,Text,0.4868,29.4,5.2,414
P01480,Machine Learning,Text,0.2949,44.4,6.8,234
P01481,Design,Job Opportunity,0.7332,13.0,4.9,338
P01482,AI,Image,0.1821,73.9,2.0,341
P01483,Marketing,Video,0.4134,72.5,6.5,142
P01484,Machine Learning,Text,0.1763,93.2,6.5,233
P01485,AI,Image,0.2695,30.3,1.9,238
P01486,Marketing,Video,0.4961,19.2,3.2,349
P01487,Machine Learning,Text,0.5274,15.0,1.8,483
P01488,Leadership,Text,0.4323,44.6,5.3,427
P01489,Career,Article,0.2499,17.2,7.7,663
P01490,Finance,Job Opportunity,0.2064,27.2,7.1,374
P01491,Machine Learning,Video,0.3844,21.3,1.4,1633
P01492,Design,Text,0.4828,1.6,5.1,451
P01493,Data Science,Text,0.2767,50.8,2.3,114
P01494,Leadership,Job Opportunity,0.3758,12.0,1.8,242
P01495,Machine Learning,Text,0.2066,7.8,5.1,4252
P01496,Machine Learning,Image,0.5292,144.9,3.6,113
P01497,Leadership,Image,0.2699,9.8,13.9,484
P01498,Machine Learning,Job Opportunity,0.4076,34.1,14.8,2013
P01499,Finance,Text,0.5404,2.1,7.7,124
P01500,Marketing,Image,0.3896,18.5,3.4,1177
P01501,Machine Learning,Text,0.457,1.5,1.0,1175
P01502,Software,Job Opportunity,0.4962,13.2,3.3,267
P01503,Machine Learning,Article,0.5211,14.1,8.5,74
P01504,AI,Video,0.4467,5.6,3.8,546
P01505,Design,Text,0.3087,28.6,1.4,313
P01506,AI,Job Opportunity,0.5699,4.9,12.4,289
P01507,Career,Article,0.3573,35.4,2.6,575
P01508,Data Science,Article,0.2731,64.3,2.8,339
P01509,Software,Image,0.3442,4.1,10.7,95
P01510,Finance,Text,0.5595,7.8,5.9,306
P01511,Design,Text,0.4789,48.3,6.1,449
P01512,Marketing,Article,0.4961,38.0,6.2,499
P01513,AI,Job Opportunity,0.4582,48.6,2.3,934
P01514,Leadership,Video,0.4533,17.7,7.4,71
P01515,Leadership,Video,0.417,37.9,9.4,754
P01516,Design,Job Opportunity,0.414,3.9,5.4,247
P01517,Machine Learning,Image,0.2451,17.4,4.5,390
P01518,Career,Text,0.7078,1.0,11.3,673
P01519,Data Science,Article,0.2384,1.3,8.7,183
P01520,Data Science,Video,0.2608,2.0,2.7,247
P01521,Marketing,Video,0.553,10.4,8.1,527
P01522,Finance,Article,0.4442,45.9,4.6,209
P01523,Software,Job Opportunity,0.2611,16.0,6.1,437
P01524,Machine Learning,Text,0.3195,42.3,14.3,142
P01525,Marketing,Text,0.4169,4.9,1.4,883
P01526,Design,Text,0.6306,43.8,0.8,612
P01527,Software,Job Opportunity,0.4564,7.9,3.2,182
P01528,Finance,Article,0.5763,43.7,4.5,802
P01529,Software,Text,0.3832,22.9,2.8,469
P01530,Software,Text,0.1675,14.3,7.5,156
P01531,Career,Job Opportunity,0.2452,21.6,6.8,580
P01532,Leadership,Text,0.2576,15.5,5.2,592
P01533,Finance,Text,0.3228,56.3,6.4,94
P01534,Finance,Job Opportunity,0.2109,37.8,6.1,48
P01535,Data Science,Video,0.1725,6.5,11.9,242
P01536,Design,Article,0.3377,12.7,2.5,185
P01537,Design,Article,0.5095,1.6,5.9,555
P01538,AI,Video,0.0304,35.1,10.6,196
P01539,Career,Text,0.844,21.5,4.3,206
P01540,Data Science,Article,0.3165,17.2,5.1,1425
P01541,Marketing,Text,0.2303,7.8,8.6,915
P01542,Design,Job Opportunity,0.0051,1.6,1.0,99
P01543,Data Science,Image,0.4908,50.7,9.5,986
P01544,Finance,Video,0.2459,55.0,6.5,1174
P01545,Marketing,Article,0.2405,107.2,8.0,300
P01546,Software,Text,0.3115,72.7,7.7,245
P01547,Software,Job Opportunity,0.325,76.1,1.6,74
P01548,Marketing,Video,0.3593,14.6,1.7,115
P01549,Machine Learning,Text,0.1617,15.3,0.6,307
P01550,Marketing,Image,0.7258,20.8,1.6,230
P01551,Software,Article,0.1577,7.0,2.3,255
P01552,AI,Text,0.3039,9.1,5.3,447
